id,vendor,series,name,sku,slug,active,source_url,created_at,updated_at
1,Harbinger,Contract Series,Coventry Spice,,harbinger-contract-series-coventry-spice,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
2,Harbinger,Contract Series,Savannah Oak,,harbinger-contract-series-savannah-oak,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
3,Harbinger,Contract Series,Bonsai Maple,,harbinger-contract-series-bonsai-maple,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
4,Harbinger,Contract Series,Tumbleweed,,harbinger-contract-series-tumbleweed,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
5,Harbinger,Contract Series,Sienna,,harbinger-contract-series-sienna,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
6,Harbinger,Contract Series,Melbourne,,harbinger-contract-series-melbourne,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
7,Harbinger,Contract Series,Canberra,,harbinger-contract-series-canberra,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
8,Harbinger,Contract Series,Perth,,harbinger-contract-series-perth,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time)
9,Harbinger,Contract Series,Winton,,harbinger-contract-series-winton,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time)
10,Harbinger,Contract Series,Sydney,,harbinger-contract-series-sydney,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time)
11,Harbinger,Contract Series,Marla,,harbinger-contract-series-marla,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time)
12,Harbinger,Contract Series,Cairns,,harbinger-contract-series-cairns,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time)
13,Harbinger,Contract Series,Brisbane,,harbinger-contract-series-brisbane,true,https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time)
14,Harbinger,Craftsman Series,Beachcomber,,harbinger-craftsman-series-beachcomber,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time)
15,Harbinger,Craftsman Series,Topeka,,harbinger-craftsman-series-topeka,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time)
16,Harbinger,Craftsman Series,Horizon,,harbinger-craftsman-series-horizon,true,https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:14 GMT-0800 (Pacific Standard Time)
