id,vendor,series,name,slug,description,specs,warranty,features,source_url,source_updated_at,active,created_at,updated_at,category,sku,coverage_sqft_per_box
1,Harbinger,Contract Series,Coventry Spice,harbinger-contract-series-coventry-spice,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
2,Harbinger,Contract Series,Savannah Oak,harbinger-contract-series-savannah-oak,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
3,Harbinger,Contract Series,Bonsai Maple,harbinger-contract-series-bonsai-maple,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
4,Harbinger,Contract Series,Tumbleweed,harbinger-contract-series-tumbleweed,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
5,Harbinger,Contract Series,Sienna,harbinger-contract-series-sienna,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
6,Harbinger,Contract Series,Melbourne,harbinger-contract-series-melbourne,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
7,Harbinger,Contract Series,Canberra,harbinger-contract-series-canberra,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
8,Harbinger,Contract Series,Perth,harbinger-contract-series-perth,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:12 GMT-0800 (Pacific Standard Time),,,
9,Harbinger,Contract Series,Winton,harbinger-contract-series-winton,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),,,
10,Harbinger,Contract Series,Sydney,harbinger-contract-series-sydney,"Durable, stylish and low maintenance glue down vinyl at contractor pricing.",,,[object Object],https://www.harbingerfloors.com/contract,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:13 GMT-0800 (Pacific Standard Time),,,
